Name,Team,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,UBR,wGDP,XBR,wSB,wRC,wRAA,wOBA,wRC+,NameASCII,PlayerId,MLBAMID
"Joey Ortiz","MIL",142,0.126760563,0.16197183,0.782608695,0.277310924,0.375886524,0.495798319,0.871684843,0.218487395,4.136520207440629,0.301075268,0,0.10000000149011612,0.6825504302978516,-0.90084238210693,24.15254848242169,7.718504076603705,0.37855054765728346,146.9649659830655,"Joey Ortiz",25493,687401
"Wenceel Pérez","DET",122,0.098360655,0.221311475,0.444444444,0.284403669,0.352459016,0.47706422,0.829523236,0.192660551,6.714048026336787,0.35,0.30000001192092896,0,0.35108107328414917,-0.24732105433940887,18.948905928027397,4.829515663873919,0.3598437446062682,133.85712789522194,"Wenceel Perez",22857,672761
"Colton Cowser","BAL",156,0.115384615,0.288461538,0.4,0.253731343,0.346153846,0.470149253,0.816303099,0.21641791,3.188481549943905,0.329411764,0.20000000298023224,-0.20000000298023224,0.5369487404823303,-0.07657857798039913,23.486845041181795,5.432542736198653,0.35381200582750383,132.29074998314582,"Colton Cowser",29591,681297
"Wilyer Abreu","BOS",160,0.1125,0.26875,0.418604651,0.269503546,0.35,0.475177304,0.825177304,0.205673758,6.889677920437226,0.351063829,0.20000000298023224,0.20000000298023224,0.7156040668487549,1.1094557186588645,24.833565889200475,6.316332755884436,0.3597055420279503,127.97113516487005,"Wilyer Abreu",23772,677800
"Davis Schneider","TOR",148,0.114864864,0.27027027,0.425,0.244094488,0.344594594,0.440944881,0.785539475,0.196850393,4.588335228989305,0.313253012,-0.4000000059604645,0.20000000298023224,-0.5398903489112854,0.32474751211702824,21.460591679659395,4.332151031342056,0.34677903193074305,126.60811535252995,"Davis Schneider",23565,676914
"Masyn Winn","STL",157,0.082802547,0.171974522,0.481481481,0.294964028,0.348387096,0.431654676,0.780041772,0.136690648,6.594431153766721,0.345132743,0.20000001788139343,0.4000000059604645,0.10677053779363632,0.6928378231823444,21.687130607524576,3.5170955954582106,0.3380783355081236,121.95991858673145,"Masyn Winn",27479,691026
"Michael Busch","CHC",177,0.107344632,0.355932203,0.301587301,0.235294117,0.322033898,0.437908496,0.759942394,0.202614379,4.476300824861024,0.337209302,0.09999999403953552,0.4000000059604645,0.5487425923347473,-0.5148080973885953,23.615553894593226,3.130864740862355,0.3321084322902442,116.49133079668839,"Michael Busch",26319,683737
"Iván Herrera","STL",114,0.087719298,0.210526315,0.416666666,0.28,0.350877192,0.38,0.730877192,0.1,1.4821428525,0.333333333,0.4000000059604645,0,0.3541252017021179,-0.2752524968236685,14.741150447291448,1.5476218398037669,0.3268991269563374,114.33288536741183,"Ivan Herrera",20599,671056
"Blaze Alexander","ARI",107,0.102803738,0.233644859,0.44,0.260416666,0.336448598,0.40625,0.742698598,0.145833334,2.5861939547168635,0.323529411,0,0.30000001192092896,0.1328197717666626,-0.41541136242449284,14.136926657797995,1.7535269998928924,0.33046136559727035,114.1569575322732,"Blaze Alexander",23789,677942
"Korey Lee","CHW",110,0.054545454,0.245454545,0.222222222,0.278846153,0.318181818,0.423076923,0.741258741,0.14423077,2.9188151298921396,0.342465753,-0.20000000298023224,0,-0.06447199732065201,-0.4167374465614557,14.164722392539154,1.434124613384377,0.32621753432533956,110.23549011067904,"Korey Lee",25543,686676
"Max Schuemann","OAK",100,0.09,0.21,0.428571428,0.25,0.33,0.363636363,0.693636363,0.113636363,4.751834319317483,0.303030303,0.20000000298023224,-0.4000000059604645,-0.8945282697677612,0.39356063632294536,11.73854793367649,0.16527722535396397,0.3117978012561798,105.94731044622878,"Max Schuemann",24488,680474
"Jackson Merrill","SDP",179,0.061452513,0.162011173,0.379310344,0.28313253,0.325842696,0.373493975,0.699336671,0.090361445,5.382095096978672,0.325925925,-0.20000000298023224,0.4000000059604645,0.7402708530426025,0.22269860887899995,20.532620735282222,-0.18353383261509765,0.3084057559401302,104.64555351892282,"Jackson Merrill",29490,701538
"Andy Pages","LAD",140,0.028571428,0.292857142,0.097560975,0.238461538,0.271428571,0.4,0.671428571,0.161538462,3.662098825401593,0.298850574,0.20000000298023224,-0.30000001192092896,-0.2162552773952484,-0.4077654597349465,14.171015335581178,-2.0315636560703574,0.2913247785397938,90.10481103161617,"Andy Pages",24816,681624
"Jacob Young","WSN",138,0.050724637,0.188405797,0.269230769,0.268292682,0.325925925,0.325203252,0.651129177,0.05691057,7.215475550779151,0.336734693,0.10000000894069672,0.20000000298023224,0.8669347763061523,1.914449464995414,14.338562798364112,-1.632550779120973,0.2947206108658402,89.61056362298808,"Jacob Young",29931,696285
"Jung Hoo Lee","SFG",158,0.063291139,0.082278481,0.769230769,0.262068965,0.310126582,0.331034482,0.641161064,0.068965517,2.412044543636574,0.272727272,,,1.0439512729644775,-1.1327520799823105,15.486853066448111,-2.798914652701479,0.2872672944883757,88.73183056437527,"Jung Hoo Lee",33824,808982
